CountryName,CountryCode,RegionName,RegionCode,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings
Haiti,HTI,,,2020-06-01,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0
Hungary,HUN,,,2020-06-01,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0
Indonesia,IDN,,,2020-06-01,3.0,3.0,2.0,4.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0
India,IND,,,2020-06-01,3.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,4.0
Ireland,IRL,,,2020-06-01,3.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
Iran,IRN,,,2020-06-01,2.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0
Iraq,IRQ,,,2020-06-01,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,4.0
Iceland,ISL,,,2020-06-01,1.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0
Israel,ISR,,,2020-06-01,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0
Italy,ITA,,,2020-06-01,3.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0
Jamaica,JAM,,,2020-06-01,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0
Jordan,JOR,,,2020-06-01,3.0,2.0,2.0,4.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
Japan,JPN,,,2020-06-01,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0
Kazakhstan,KAZ,,,2020-06-01,3.0,2.0,2.0,4.0,2.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0
Kenya,KEN,,,2020-06-01,3.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,4.0
Kyrgyz Republic,KGZ,,,2020-06-01,3.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
Cambodia,KHM,,,2020-06-01,3.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0
South Korea,KOR,,,2020-06-01,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,2.0
